1.00000,2.32782,3.34990,
4.49484,5.62336,6.93048,
8.41428,10.06365,11.97630,
14.18138,16.70870,19.58824,
22.84950,26.52080,30.62845,
35.19588,40.24273,45.78375,
51.82793,58.43583,65.62319,
73.40038,81.77154,90.73373,
100.27628,110.82243,122.47773,
135.35883,149.59464,165.32764,
182.71530,201.93164,223.16899,
246.63988,272.57922,301.24661,
332.92902,367.94348,406.64044,
449.40720,496.67181,548.90723,
606.63629,670.43683,740.94727,
818.87329,904.99493,1000.17395,
1105.36304,1221.61499,1350.09326,
1492.08362,1649.00745,1822.43469,
2014.10168,2225.92627,2460.02905,
2718.75195,3004.68530,3320.69092,
3669.93066,4055.90015,4482.46240,
4953.88672,5474.89111,6050.68994,
6687.04492,7390.32715,8167.57373,
9026.56445,9975.89648,11025.06934,
12184.58398,13466.04785,14882.28320,
16447.46289,18177.25781,20088.97461,
21886.89453,23274.16602,24264.66602,
24868.31641,25091.15430,24935.41016,
24399.52148,23478.13281,22162.01758,
20438.00586,18288.83984,15693.01172,
12624.54199,9584.35352,6736.55713,
4231.34326,2199.57910,747.11890,
0.00000
